"","fullVisitorId","visitNumber","totals.bounces","totals.hits","totals.newVisits","totals.pageviews"
"121",8.45e+15,1,1,1,1,1
"122",8.47e+15,1,0,7,1,5
"123",8.55e+15,1,1,1,1,1
"124",8.72e+15,1,1,1,1,1
"125",8.75e+15,1,1,1,1,1
"126",8.89e+15,1,1,1,1,1
"127",8.9e+15,1,1,1,1,1
"128",8.91e+15,1,0,2,1,2
"129",9.03e+15,1,0,7,1,6
"130",9.05e+15,3,1,1,0,1
"131",9.11e+15,2,1,59,2,41
"132",9.13e+15,1,1,1,1,1
"133",9.2e+15,1,1,1,1,1
"134",9.22e+15,6,1,23,1,18
"135",9.25e+15,1,1,1,1,1
"136",9.27e+15,1,1,1,1,1
"137",9.29e+15,1,0,12,1,8
"138",9.49e+15,1,1,1,1,1
"139",9.56e+15,1,1,1,1,1
"140",9.76e+15,1,0,10,1,8
"141",9.8e+15,1,1,1,1,1
"142",9.83e+15,1,1,1,1,1
"143",9.98e+15,1,0,7,1,6
"144",1e+16,1,0,5,1,4
"145",1.01e+16,4,2,2,1,2
"146",1.02e+16,2,1,3,2,3
"147",1.03e+16,4,1,3,1,3
"148",1.05e+16,3,1,6,3,6
"149",1.07e+16,8,1,12,2,11
"150",1.08e+16,6,3,22,4,18
"151",1.12e+16,5,3,6,3,5
"152",1.13e+16,8,3,21,3,19
"153",1.14e+16,1,0,2,1,2
"154",1.15e+16,1,1,1,1,1
"155",1.16e+16,12,0,50,0,35
"156",1.17e+16,2,1,1,0,1
"157",1.18e+16,1,0,14,1,12
"158",1.19e+16,1,0,3,1,2
"159",1.2e+16,1,1,1,1,1
"160",1.21e+16,2,1,4,2,4
"161",1.22e+16,3,0,19,3,18
"162",1.23e+16,17,1,43,1,31
"163",1.24e+16,3,0,9,3,9
"164",1.25e+16,3,0,6,0,6
"165",1.26e+16,4,1,20,2,13
"166",1.27e+16,6,2,18,2,17
"167",1.28e+16,7,4,4,2,4
"168",1.29e+16,2,2,2,2,2
"169",1.3e+16,127,3,7,0,7
"170",1.34e+16,1,0,3,1,3
"171",1.35e+16,1,0,5,1,3
"172",1.36e+16,1,0,3,1,3
"173",1.41e+16,3,1,1,0,1
"174",1.43e+16,2,2,2,2,2
"175",1.45e+16,2,2,2,2,2
"176",1.49e+16,2,1,3,2,3
"177",1.51e+16,1,1,1,1,1
"178",1.52e+16,2,2,2,2,2
"179",1.53e+16,2,1,4,2,3
"180",1.54e+16,1,1,1,1,1
"181",1.56e+16,3,1,12,3,9
"182",1.58e+16,1,1,1,1,1
"183",1.59e+16,2,1,5,2,5
"184",1.61e+16,4,1,12,2,12
"185",1.66e+16,2,1,3,2,3
"186",1.68e+16,5,2,43,3,33
"187",1.69e+16,3,1,8,1,5
"188",1.7e+16,7,2,2,1,2
"189",1.71e+16,2,0,10,2,8
"190",1.73e+16,2,2,2,2,2
"191",1.75e+16,2,2,2,2,2
"192",1.76e+16,3,1,5,3,5
"193",1.77e+16,1,1,1,1,1
"194",1.79e+16,1,1,1,1,1
"195",1.83e+16,1,1,1,1,1
"196",1.84e+16,2,0,6,2,4
"197",1.85e+16,1,0,6,1,6
"198",1.86e+16,2,1,1,0,1
"199",1.87e+16,4,0,18,2,13
"200",1.88e+16,4,0,34,2,27
"201",1.89e+16,4,1,5,2,5
"202",1.9e+16,1,0,2,1,2
"203",1.91e+16,3,1,1,0,1
"204",1.92e+16,3,2,5,3,4
"205",1.93e+16,1,1,1,1,1
"206",1.95e+16,3,1,12,3,9
"207",1.96e+16,1,0,2,1,2
"208",1.97e+16,3,2,42,3,41
"209",1.98e+16,1,1,1,1,1
"210",1.99e+16,14,2,4,2,4
"211",2.01e+16,1,1,1,1,1
"212",2.02e+16,2,1,3,2,3
"213",2.03e+16,2,1,6,2,4
"214",2.04e+16,4,0,2,0,2
"215",2.05e+16,5,0,6,1,6
"216",2.06e+16,1,1,1,1,1
"217",2.07e+16,5,1,11,3,9
"218",2.08e+16,1,0,2,1,2
"219",2.09e+16,5,1,44,0,34
"220",2.1e+16,3,1,8,1,8
"221",2.13e+16,1,1,1,1,1
"222",2.14e+16,3,1,7,1,7
"223",2.16e+16,1,0,4,1,3
"224",2.17e+16,1,1,1,1,1
"225",2.18e+16,1,1,1,1,1
"226",2.19e+16,1,1,1,1,1
"227",2.21e+16,1,0,6,1,6
"228",2.22e+16,1,1,1,1,1
"229",2.24e+16,12,2,23,1,17
"230",2.25e+16,1,0,10,1,6
"231",2.26e+16,2,0,8,2,5
"232",2.28e+16,3,1,24,3,19
"233",2.3e+16,2,0,6,0,6
"234",2.31e+16,1,1,1,1,1
"235",2.32e+16,3,0,21,3,15
"236",2.34e+16,2,1,3,2,3
"237",2.36e+16,1,0,20,1,17
"238",2.37e+16,2,1,3,2,3
"239",2.38e+16,1,1,1,1,1
"240",2.39e+16,1,1,1,1,1
"241",2.4e+16,3,3,3,3,3
"242",2.41e+16,1,1,1,1,1
"243",2.42e+16,1,1,1,1,1
"244",2.43e+16,1,1,1,1,1
"245",2.45e+16,4,1,3,1,3
"246",2.46e+16,1,1,1,1,1
"247",2.48e+16,7,1,1,0,1
"248",2.49e+16,1,0,2,1,2
"249",2.51e+16,2,1,5,2,4
"250",2.53e+16,1,1,1,1,1
"251",2.54e+16,10,0,11,0,9
"252",2.57e+16,1,1,1,1,1
"253",2.59e+16,5,2,4,2,4
"254",2.6e+16,2,2,2,2,2
"255",2.62e+16,1,0,2,1,2
"256",2.63e+16,2,2,2,2,2
"257",2.64e+16,2,2,2,2,2
"258",2.65e+16,2,2,2,2,2
"259",2.66e+16,3,0,15,1,14
"260",2.67e+16,12,4,21,3,17
"261",2.7e+16,2,1,3,2,3
"262",2.71e+16,1,1,1,1,1
"263",2.73e+16,11,2,2,0,2
"264",2.75e+16,3,1,1,0,1
"265",2.76e+16,2,1,5,2,5
"266",2.77e+16,1,1,1,1,1
"267",2.78e+16,2,1,4,2,3
"268",2.81e+16,3,1,15,3,15
"269",2.82e+16,4,1,17,4,16
"270",2.83e+16,5,1,4,0,4
"271",2.85e+16,2,0,2,0,2
"272",2.86e+16,2,0,13,2,10
"273",2.87e+16,34,2,2,0,2
"274",2.88e+16,1,1,1,1,1
"275",2.89e+16,6,3,28,4,21
"276",2.9e+16,3,0,18,1,18
"277",2.91e+16,1,0,5,1,5
"278",2.92e+16,1,0,6,1,4
"279",2.93e+16,1,1,1,1,1
"280",2.94e+16,1,1,1,1,1
"281",2.95e+16,2,1,4,2,4
"282",2.96e+16,1,0,5,1,4
"283",2.97e+16,3,2,2,1,2
"284",2.98e+16,1,0,22,1,16
"285",2.99e+16,2,1,6,2,5
"286",3e+16,4,0,19,2,16
"287",3.01e+16,4,1,48,4,36
"288",3.02e+16,1,0,14,1,12
"289",3.03e+16,1,1,1,1,1
"290",3.06e+16,7,0,4,0,4
"291",3.07e+16,1,0,2,1,2
"292",3.08e+16,1,1,1,1,1
"293",3.09e+16,2,0,3,0,3
"294",3.1e+16,1,0,9,1,7
"295",3.11e+16,1,1,1,1,1
"296",3.13e+16,1,1,1,1,1
"297",3.14e+16,1,1,1,1,1
"298",3.16e+16,3,1,15,3,15
"299",3.17e+16,3,1,11,3,10
"300",3.18e+16,1,0,2,1,2
"301",3.19e+16,1,0,2,1,2
"302",3.22e+16,1,0,4,1,2
"303",3.23e+16,3,2,4,3,4
"304",3.24e+16,2,1,1,0,1
"305",3.25e+16,3,1,18,3,17
"306",3.27e+16,1,0,5,1,5
"307",3.28e+16,3,2,2,1,2
"308",3.29e+16,3,2,4,3,4
"309",3.3e+16,2,0,20,2,14
"310",3.31e+16,1,0,3,1,3
"311",3.34e+16,7,1,39,3,32
"312",3.36e+16,4,2,9,4,9
"313",3.37e+16,1,0,13,1,8
"314",3.41e+16,1,0,2,1,2
"315",3.42e+16,2,0,2,0,2
"316",3.43e+16,2,1,3,2,3
"317",3.44e+16,7,0,3,0,3
"318",3.46e+16,1,0,2,1,2
"319",3.47e+16,8,1,31,1,27
"320",3.48e+16,1,1,1,1,1
"321",3.49e+16,41,3,9,4,9
"322",3.5e+16,1,0,3,1,3
"323",3.52e+16,2,2,2,2,2
"324",3.54e+16,2,1,8,2,8
"325",3.55e+16,7,1,17,2,11
"326",3.57e+16,3,2,4,3,4
"327",3.58e+16,1,0,8,1,5
"328",3.59e+16,3,2,2,1,2
"329",3.6e+16,1,1,1,1,1
"330",3.63e+16,1,1,1,1,1
"331",3.65e+16,2,0,9,2,9
"332",3.67e+16,3,0,11,0,10
"333",3.68e+16,4,2,27,2,20
"334",3.69e+16,5,1,14,2,12
"335",3.71e+16,1,1,1,1,1
"336",3.72e+16,1,1,1,1,1
"337",3.73e+16,4,1,7,2,6
"338",3.75e+16,5,1,3,1,3
"339",3.77e+16,1,1,1,1,1
"340",3.79e+16,3,1,21,1,18
"341",3.83e+16,1,1,1,1,1
"342",3.84e+16,5,2,11,3,9
"343",3.86e+16,4,2,9,2,9
"344",3.87e+16,3,2,18,3,15
"345",3.88e+16,2,2,2,2,2
"346",3.89e+16,3,0,4,1,4
"347",3.9e+16,1,0,2,1,2
"348",3.92e+16,1,0,15,1,15
"349",3.93e+16,1,1,1,1,1
"350",3.94e+16,2,1,19,2,12
"351",3.95e+16,1,1,1,1,1
"352",3.96e+16,2,0,11,2,7
"353",3.97e+16,4,1,7,2,6
"354",3.98e+16,2,2,2,2,2
"355",3.99e+16,1,0,2,1,2
"356",4.01e+16,1,0,69,1,51
"357",4.02e+16,1,1,1,1,1
"358",4.03e+16,30,1,30,3,27
"359",4.05e+16,2,1,6,2,6
"360",4.06e+16,3,1,11,1,9
"361",4.07e+16,3,1,3,1,3
"362",4.08e+16,1,0,14,1,11
"363",4.09e+16,1,1,1,1,1
"364",4.1e+16,15,1,7,0,7
"365",4.11e+16,7,0,23,0,20
"366",4.12e+16,3,0,16,1,14
"367",4.13e+16,6,0,13,2,12
"368",4.14e+16,13,3,8,2,8
"369",4.15e+16,1,1,1,1,1
"370",4.17e+16,4,1,11,2,7
"371",4.18e+16,1,0,3,1,3
"372",4.21e+16,1,0,2,1,2
"373",4.22e+16,3,1,5,1,5
"374",4.24e+16,2,1,7,2,7
"375",4.25e+16,2,1,14,2,12
"376",4.26e+16,11,0,23,0,18
"377",4.28e+16,3,1,19,1,10
"378",4.29e+16,5,3,7,3,5
"379",4.3e+16,2,0,6,2,6
"380",4.31e+16,1,0,2,1,2
"381",4.32e+16,3,1,8,1,8
"382",4.33e+16,2,2,2,2,2
"383",4.34e+16,6,1,13,2,13
"384",4.35e+16,2,2,2,2,2
"385",4.37e+16,4,1,15,1,11
"386",4.38e+16,1,1,1,1,1
"387",4.39e+16,2,1,3,2,3
"388",4.4e+16,2,2,2,2,2
"389",4.41e+16,19,2,6,1,6
"390",4.42e+16,1,1,1,1,1
"391",4.43e+16,1,1,1,1,1
"392",4.45e+16,5,1,8,1,8
"393",4.46e+16,3,2,2,1,2
"394",4.47e+16,1,1,1,1,1
"395",4.48e+16,1,0,3,1,3
"396",4.49e+16,9,3,9,2,7
"397",4.5e+16,2,1,3,2,3
"398",4.51e+16,1,1,1,1,1
"399",4.52e+16,1,0,8,1,8
"400",4.53e+16,1,1,1,1,1
"401",4.55e+16,1,1,1,1,1
"402",4.56e+16,4,0,16,2,15
"403",4.57e+16,3,0,12,1,8
"404",4.58e+16,3,2,12,3,8
"405",4.61e+16,1,1,1,1,1
"406",4.62e+16,1,1,1,1,1
"407",4.63e+16,1,0,8,1,8
"408",4.64e+16,3,1,50,3,38
"409",4.65e+16,2,1,1,0,1
"410",4.66e+16,2,0,7,0,6
"411",4.68e+16,1,1,1,1,1
"412",4.71e+16,71,5,5,1,5
"413",4.75e+16,1,0,7,1,5
"414",4.76e+16,2,1,20,2,16
"415",4.78e+16,2,2,2,2,2
"416",4.79e+16,6,0,8,1,6
"417",4.8e+16,1,0,5,1,5
"418",4.81e+16,1,0,12,1,12
"419",4.83e+16,2,0,6,2,4
"420",4.85e+16,1,0,3,1,2
"421",4.86e+16,1,0,5,1,5
"422",4.87e+16,1,1,1,1,1
"423",4.9e+16,4,2,7,2,7
"424",4.93e+16,1,0,2,1,2
"425",4.94e+16,11,3,3,1,3
"426",4.95e+16,3,2,15,3,13
"427",4.96e+16,1,0,4,1,4
"428",5.01e+16,1,1,1,1,1
"429",5.02e+16,1,1,1,1,1
"430",5.03e+16,1,0,3,1,2
"431",5.06e+16,2,1,3,2,3
"432",5.07e+16,3,2,5,3,5
"433",5.08e+16,19,3,30,1,27
"434",5.1e+16,4,2,11,4,9
"435",5.11e+16,1,1,1,1,1
"436",5.13e+16,2,2,2,2,2
"437",5.14e+16,2,1,5,2,4
"438",5.15e+16,3,1,1,0,1
"439",5.16e+16,1,1,1,1,1
"440",5.17e+16,2,0,17,0,16
"441",5.19e+16,1,1,1,1,1
"442",5.2e+16,2,1,3,2,3
"443",5.21e+16,1,1,1,1,1
"444",5.22e+16,2,1,10,2,10
"445",5.23e+16,4,1,8,2,8
"446",5.24e+16,3,2,5,3,5
"447",5.26e+16,4,0,3,0,3
"448",5.27e+16,1,0,14,1,14
"449",5.28e+16,2,1,6,2,6
"450",5.29e+16,2,1,5,2,3
"451",5.3e+16,1,0,4,1,2
"452",5.31e+16,15,1,29,3,27
"453",5.32e+16,1,0,25,1,21
"454",5.34e+16,1,1,1,1,1
"455",5.35e+16,3,2,7,3,7
"456",5.36e+16,2,1,6,2,6
"457",5.38e+16,1,0,7,1,7
"458",5.39e+16,3,1,8,1,8
"459",5.43e+16,2,0,11,2,9
"460",5.44e+16,6,3,16,4,16
"461",5.45e+16,1,1,1,1,1
"462",5.47e+16,1,0,2,1,2
"463",5.48e+16,1,1,1,1,1
"464",5.49e+16,1,1,1,1,1
"465",5.51e+16,1,1,1,1,1
"466",5.52e+16,1,1,1,1,1
"467",5.53e+16,2,0,13,2,10
"468",5.54e+16,1,0,5,1,5
"469",5.55e+16,2,2,2,2,2
"470",5.56e+16,3,2,12,3,11
"471",5.58e+16,8,1,7,1,7
"472",5.59e+16,1,0,23,1,11
"473",5.61e+16,1,0,6,1,6
"474",5.62e+16,1,0,7,1,5
"475",5.64e+16,3,1,10,3,8
"476",5.66e+16,1,1,1,1,1
"477",5.67e+16,3,0,5,0,5
"478",5.68e+16,1,0,2,1,2
"479",5.69e+16,1,0,7,1,7
"480",5.7e+16,6,0,4,1,4
"481",5.72e+16,2,1,26,2,21
"482",5.73e+16,4,2,22,2,18
"483",5.76e+16,3,1,1,0,1
"484",5.77e+16,3,2,4,3,4
"485",5.79e+16,3,1,1,0,1
"486",5.82e+16,2,1,7,2,6
"487",5.83e+16,3,1,8,1,8
"488",5.84e+16,1,1,1,1,1
"489",5.87e+16,1,1,1,1,1
"490",5.89e+16,2,1,3,2,3
"491",5.91e+16,2,2,2,2,2
"492",5.92e+16,1,1,1,1,1
"493",5.95e+16,2,1,15,2,15
"494",5.96e+16,9,1,12,0,9
"495",5.97e+16,2,2,2,2,2
"496",5.98e+16,2,0,9,2,9
"497",6e+16,1,0,2,1,2
"498",6.01e+16,4,2,11,2,9
"499",6.02e+16,121,5,7,1,7
"500",6.04e+16,2,0,25,2,21
"501",6.05e+16,4,1,37,2,31
"502",6.06e+16,7,3,36,3,27
"503",6.07e+16,1,1,1,1,1
"504",6.09e+16,1,0,4,1,4
"505",6.1e+16,2,1,5,2,4
"506",6.14e+16,3,0,5,1,5
"507",6.15e+16,1,1,1,1,1
"508",6.16e+16,13,2,21,3,20
"509",6.17e+16,2,1,1,0,1
"510",6.18e+16,1,1,1,1,1
"511",6.2e+16,2,0,17,2,17
"512",6.21e+16,1,1,1,1,1
"513",6.22e+16,2,1,5,2,5
"514",6.23e+16,1,1,1,1,1
"515",6.24e+16,1,1,1,1,1
"516",6.25e+16,2,0,4,0,4
"517",6.26e+16,9,2,26,2,25
"518",6.27e+16,1,1,1,1,1
"519",6.28e+16,1,0,8,1,8
"520",6.29e+16,3,0,17,3,12
"521",6.3e+16,1,1,1,1,1
"522",6.31e+16,1,1,1,1,1
"523",6.34e+16,1,0,4,1,2
"524",6.35e+16,4,1,9,1,8
"525",6.36e+16,1,1,1,1,1
"526",6.37e+16,1,1,1,1,1
"527",6.38e+16,1,0,2,1,2
"528",6.39e+16,1,1,1,1,1
"529",6.4e+16,1,1,1,1,1
"530",6.41e+16,2,2,2,2,2
"531",6.42e+16,6,2,8,1,6
"532",6.43e+16,1,0,4,1,4
"533",6.44e+16,1,0,8,1,6
"534",6.45e+16,6,2,9,3,8
"535",6.47e+16,2,1,17,2,15
"536",6.49e+16,1,1,1,1,1
"537",6.5e+16,5,0,9,2,7
"538",6.51e+16,3,1,5,1,5
"539",6.53e+16,3,0,11,1,11
"540",6.54e+16,1,1,1,1,1
"541",6.55e+16,2,1,10,2,9
"542",6.56e+16,3,1,9,1,9
"543",6.57e+16,1,1,1,1,1
"544",6.58e+16,6,3,14,2,10
"545",6.59e+16,3,1,4,1,4
"546",6.6e+16,1,0,4,1,3
"547",6.63e+16,1,1,1,1,1
"548",6.64e+16,1,0,2,1,2
"549",6.65e+16,1,1,1,1,1
"550",6.69e+16,2,1,1,0,1
"551",6.71e+16,1,1,1,1,1
"552",6.72e+16,1,1,1,1,1
"553",6.73e+16,1,1,1,1,1
"554",6.74e+16,2,1,3,2,3
"555",6.75e+16,2,1,10,2,8
"556",6.77e+16,5,1,39,3,34
"557",6.78e+16,2,2,2,2,2
"558",6.8e+16,1,0,3,1,2
"559",6.81e+16,4,2,7,2,5
"560",6.82e+16,2,1,18,2,16
"561",6.86e+16,1,1,1,1,1
"562",6.87e+16,2,2,2,2,2
"563",6.88e+16,3,2,2,1,2
"564",6.89e+16,1,1,1,1,1
"565",6.9e+16,1,1,1,1,1
"566",6.91e+16,1,1,1,1,1
"567",6.92e+16,1,0,2,1,2
"568",6.93e+16,4,2,12,2,8
"569",6.94e+16,10,3,6,2,6
"570",6.95e+16,1,0,23,1,17
"571",6.96e+16,1,0,16,1,14
"572",6.98e+16,2,1,7,2,3
"573",6.99e+16,1,1,1,1,1
"574",7e+16,3,1,3,1,3
"575",7.01e+16,4,0,13,0,4
"576",7.02e+16,1,0,2,1,2
"577",7.03e+16,4,0,5,0,3
"578",7.04e+16,2,2,2,2,2
"579",7.06e+16,8,1,1,0,1
"580",7.07e+16,1,1,1,1,1
"581",7.08e+16,2,1,6,2,6
"582",7.09e+16,3,1,2,0,1
"583",7.1e+16,1,0,8,1,8
"584",7.11e+16,1,0,20,1,19
"585",7.12e+16,1,0,4,1,4
"586",7.14e+16,3,1,12,1,12
"587",7.15e+16,3,2,4,3,4
"588",7.16e+16,1,1,1,1,1
"589",7.17e+16,12,0,33,1,32
"590",7.19e+16,3,0,2,0,2
"591",7.2e+16,1,1,1,1,1
"592",7.22e+16,1,1,1,1,1
"593",7.26e+16,1,0,23,1,18
"594",7.29e+16,1,0,2,1,2
"595",7.3e+16,1,0,8,1,5
"596",7.31e+16,1,1,1,1,1
"597",7.32e+16,1,1,1,1,1
"598",7.33e+16,1,1,1,1,1
"599",7.34e+16,6,3,5,2,5
"600",7.35e+16,1,0,61,1,44
"601",7.36e+16,1,1,1,1,1
"602",7.37e+16,1,1,1,1,1
"603",7.38e+16,3,2,2,1,2
"604",7.39e+16,4,1,10,2,10
"605",7.4e+16,2,2,2,2,2
"606",7.41e+16,2,1,1,0,1
"607",7.42e+16,1,1,1,1,1
"608",7.43e+16,3,0,15,1,12
"609",7.45e+16,5,3,11,3,9
"610",7.47e+16,2,2,2,2,2
"611",7.48e+16,1,0,8,1,8
"612",7.5e+16,1,1,1,1,1
"613",7.52e+16,1,0,69,1,49
"614",7.53e+16,7,4,4,2,4
"615",7.56e+16,2,2,2,2,2
"616",7.57e+16,1,1,1,1,1
"617",7.58e+16,2,1,3,2,3
"618",7.59e+16,3,1,3,1,3
"619",7.61e+16,2,1,8,2,6
"620",7.62e+16,11,2,2,1,2
"621",7.63e+16,3,1,3,1,3
"622",7.64e+16,1,0,13,1,13
"623",7.65e+16,11,4,33,3,27
"624",7.67e+16,1,1,1,1,1
"625",7.68e+16,2,1,16,2,14
"626",7.71e+16,7,1,17,2,14
"627",7.72e+16,1,0,29,1,24
"628",7.8e+16,2,1,9,2,9
"629",7.81e+16,1,0,15,1,13
"630",7.82e+16,6,1,21,1,15
"631",7.84e+16,1,1,1,1,1
"632",7.85e+16,2,1,3,2,3
"633",7.86e+16,8,0,17,2,17
"634",7.87e+16,2,1,1,0,1
"635",7.88e+16,9,0,5,0,5
"636",7.89e+16,1,0,6,1,3
"637",7.92e+16,5,3,6,3,6
"638",7.93e+16,2,1,6,2,6
"639",7.94e+16,1,1,1,1,1
"640",7.95e+16,1,0,12,1,7
"641",7.96e+16,2,1,3,2,3
"642",7.99e+16,2,0,15,0,12
"643",8e+16,2,1,5,2,5
"644",8.01e+16,1,0,3,1,3
"645",8.02e+16,1,1,1,1,1
"646",8.03e+16,3,2,2,1,2
"647",8.04e+16,2,1,14,2,14
"648",8.05e+16,2,2,2,2,2
"649",8.06e+16,1,0,2,1,2
"650",8.07e+16,4,3,3,2,3
"651",8.08e+16,2,2,2,2,2
"652",8.12e+16,2,0,17,0,8
"653",8.13e+16,3,1,4,1,4
"654",8.15e+16,1,1,1,1,1
"655",8.21e+16,1,0,5,1,5
"656",8.22e+16,3,1,33,3,29
"657",8.23e+16,1,0,40,1,28
"658",8.24e+16,3,2,2,1,2
"659",8.28e+16,5,2,27,3,23
"660",8.29e+16,2,0,2,0,2
"661",8.3e+16,1,0,7,1,7
"662",8.31e+16,2,1,1,0,1
"663",8.32e+16,5,1,10,2,10
"664",8.35e+16,3,0,11,0,11
"665",8.37e+16,2,1,8,2,8
"666",8.39e+16,24,3,49,2,33
"667",8.4e+16,1,0,2,1,2
"668",8.41e+16,1,1,1,1,1
"669",8.43e+16,1,1,1,1,1
"670",8.44e+16,1,0,7,1,5
"671",8.45e+16,18,3,3,0,3
"672",8.46e+16,4,2,17,2,16
"673",8.47e+16,10,6,24,5,18
"674",8.48e+16,5,3,3,1,3
"675",8.51e+16,3,1,8,3,8
"676",8.55e+16,2,0,5,2,4
"677",8.56e+16,3,2,2,1,2
"678",8.57e+16,1,1,1,1,1
"679",8.58e+16,10,6,6,3,6
"680",8.59e+16,189,5,17,1,17
"681",8.61e+16,2,0,2,0,1
"682",8.64e+16,5,0,5,0,5
"683",8.65e+16,2,0,17,0,11
"684",8.66e+16,2,2,2,2,2
"685",8.68e+16,4,1,7,2,7
"686",8.69e+16,1,1,1,1,1
"687",8.7e+16,1,1,1,1,1
"688",8.71e+16,5,1,28,1,19
"689",8.72e+16,9,2,11,2,9
"690",8.73e+16,7,1,6,1,6
"691",8.74e+16,7,0,12,2,12
"692",8.75e+16,1,1,1,1,1
"693",8.78e+16,2,2,2,2,2
"694",8.8e+16,2,0,15,2,12
"695",8.81e+16,1,1,1,1,1
"696",8.82e+16,6,1,5,1,5
